height,sample_count,optimization_type,size
1329000,514,none,3511258
1354000,524,none,3264636
1379000,511,none,3355909
1404000,515,none,3425913
1429000,521,none,3419655
1454000,513,none,3272327
1479000,514,none,3510282
1504000,508,none,3482868
1529000,507,none,3483789
1554000,513,none,3735683
1579000,511,none,3247085
1604000,508,none,2967296
1629000,501,none,3347551
1654000,513,none,3317467
1679000,501,none,3324127
1704000,523,none,2966465
1729000,527,none,3274857
1754000,535,none,3258705
1779000,532,none,3594772
1804000,522,none,3213826
1829000,524,none,3179532
1854000,529,none,3493103
1879000,526,none,3566626
1904000,528,none,3388616
1929000,537,none,3588404
1954000,532,none,3229016
1979000,531,none,3458077
2004000,530,none,3552694
2029000,536,none,3594260
2054000,541,none,3544027
2079000,541,none,3925643
2104000,550,none,3488646
2129000,551,none,3834205
2154000,559,none,4006665
2179000,556,none,3868884
2204000,561,none,3821335
2229000,556,none,3549000
2254000,547,none,3619753
2279000,546,none,3422058
2304000,556,none,3630740
2329000,554,none,3861454
2354000,552,none,3556588
2379000,558,none,3939266
2404000,555,none,3699005
2429000,553,none,3605687
2454000,562,none,4054654
2479000,570,none,3836226
2504000,573,none,3760263
2529000,570,none,3923822
2554000,576,none,3940500
2579000,586,none,4524210
2604000,565,none,4206587
2629000,571,none,4146893
2654000,577,none,4063287
2679000,566,none,3923358
2704000,569,none,3726371
2729000,560,none,3621255
2754000,562,none,3801437
2779000,572,none,3973519
2804000,574,none,3758421
2829000,578,none,3778893
2854000,580,none,3951999
2879000,574,none,3741585
2904000,585,none,3904450
2929000,588,none,4037595
2954000,596,none,4088299
2979000,591,none,4274928
3004000,583,none,3862372
3029000,585,none,3872974
3054000,577,none,4298802
3079000,584,none,4009803
904000,206,none,961302
929000,357,none,1952927
954000,393,none,2373611
979000,414,none,2374034
1004000,431,none,2476717
1029000,445,none,2764187
1054000,447,none,2563537
1079000,448,none,2832968
1104000,458,none,2572194
1129000,467,none,2743733
1154000,465,none,2714587
1179000,477,none,3075147
1204000,470,none,2899814
1229000,495,none,3017089
1254000,492,none,3211392
1279000,505,none,3229187
1304000,515,none,3377113
1329000,514,none,3495398
1354000,524,none,3260732
1379000,511,none,3321993
1404000,515,none,3433477
1429000,521,none,3446983
1454000,513,none,3283795
1479000,514,none,3507110
1504000,508,none,3463348
1529000,507,none,3462073
1554000,513,none,3714211
1579000,511,none,3246109
1604000,508,none,2993160
1629000,501,none,3349503
1654000,513,none,3313075
1679000,501,none,3341207
1704000,523,none,2998917
1729000,527,none,3267537
1754000,535,none,3217469
1779000,532,none,3582816
1804000,522,none,3205042
1829000,524,none,3212716
1854000,529,none,3490663
1879000,526,none,3567358
1904000,528,none,3401304
1929000,537,none,3609199
1954000,532,none,3219744
1979000,531,none,3464177
2004000,530,none,3543422
2029000,536,none,3568396
2054000,541,none,3530119
2079000,541,none,3946627
2104000,550,none,3470590
2129000,551,none,3846405
2154000,559,none,3991049
2179000,556,none,3891576
2204000,561,none,3778391
2229000,556,none,3517768
2254000,547,none,3633661
2279000,546,none,3437430
2304000,556,none,3678320
2329000,554,none,3835102
2354000,552,none,3588796
2379000,558,none,3900470
2404000,555,none,3687781
2429000,553,none,3591779
2454000,562,none,4086130
2479000,570,none,3810850
2504000,573,none,3763435
2529000,570,none,3936510
2554000,576,none,3971244
2579000,586,none,4499322
2604000,565,none,4212443
2629000,571,none,4115661
2654000,577,none,4058407
2679000,566,none,3930434
2704000,569,none,3728079
2729000,560,none,3716659
2754000,562,none,3830473
2779000,572,none,3933747
2804000,574,none,3780381
2829000,578,none,3778405
2854000,580,none,4012267
2879000,574,none,3753785
2904000,585,none,3912014
2929000,588,none,4045647
2954000,596,none,4001136
2979000,591,none,4266876
3004000,583,none,3869936
3029000,585,none,3863702
3054000,577,none,4304414
3079000,584,none,3948315
904000,206,none,962278
929000,357,none,1941703
954000,393,none,2360191
979000,414,none,2349878
1004000,431,none,2484037
1029000,445,none,2771019
1054000,447,none,2570857
1079000,448,none,2824184
1104000,458,none,2550234
1129000,467,none,2763253
1154000,465,none,2733619
1179000,477,none,3090763
1204000,470,none,2914210
1229000,495,none,3035389
1254000,492,none,3194800
1279000,505,none,3209423
1304000,515,none,3384921
1329000,514,none,3500278
1354000,524,none,3251460
1379000,511,none,3339317
1404000,515,none,3397853
1429000,521,none,3424779
1454000,513,none,3273547
1479000,514,none,3531510
1504000,508,none,3467984
1529000,507,none,3476713
1554000,513,none,3721775
1579000,511,none,3273925
1604000,508,none,2953144
1629000,501,none,3375611
1654000,513,none,3307707
1679000,501,none,3353895
1704000,523,none,2942797
1729000,527,none,3300477
1754000,535,none,3197949
1779000,532,none,3587696
1804000,522,none,3191866
1829000,524,none,3248096
1854000,529,none,3499935
1879000,526,none,3608594
1904000,528,none,3388128
1929000,537,none,3581627
1954000,532,none,3223404
1979000,531,none,3489065
2004000,530,none,3546350
2029000,536,none,3584500
2054000,541,none,3543051
2079000,541,none,3950043
2104000,550,none,3517194
2129000,551,none,3828593
2154000,559,none,3984217
2179000,556,none,3861564
2204000,561,none,3790591
2229000,556,none,3531188
2254000,547,none,3607309
2279000,546,none,3413518
2304000,556,none,3622444
2329000,554,none,3874142
2354000,552,none,3525600
2379000,558,none,3945366
2404000,555,none,3688269
2429000,553,none,3578847
2454000,562,none,4071246
2479000,570,none,3804262
2504000,573,none,3792959
2529000,570,none,3959202
2554000,576,none,3930252
2579000,586,none,4442714
2604000,565,none,4207807
2629000,571,none,4135913
2654000,577,none,4071583
2679000,566,none,3875046
2704000,569,none,3728567
2729000,560,none,3648095
2754000,562,none,3753613
2779000,572,none,3973519
2804000,574,none,3806733
2829000,578,none,3779625
2854000,580,none,3976643
2879000,574,none,3718649
2904000,585,none,3913234
2929000,588,none,4089079
2954000,596,none,4037059
2979000,591,none,4300792
3004000,583,none,3828700
3029000,585,none,3865898
3054000,577,none,4275134
3079000,584,none,3981499
904000,206,none,964230
929000,357,none,1930479
954000,393,none,2364583
979000,414,none,2373302
1004000,431,none,2466713
1029000,445,none,2766139
1054000,447,none,2545969
1079000,448,none,2841996
1104000,458,none,2554382
1129000,467,none,2777893
1154000,465,none,2733131
1179000,477,none,3069047
1204000,470,none,2935438
1229000,495,none,3027825
1254000,492,none,3194068
1279000,505,none,3202347
1304000,515,none,3359545
1329000,514,none,3513942
1354000,524,none,3270248
1379000,511,none,3343709
1404000,515,none,3406637
