height,c,L,size,attack_cost
1254000,0.2,100,1061191,1093
1254000,0.2,144,1108383,1574
1254000,0.2,192,1170143,2099
1254000,0.2,240,1224016,2624
1254000,0.35,100,1565370,1913
1254000,0.35,144,1591815,2755
1254000,0.35,192,1638306,3674
1254000,0.35,240,1685316,4592
1254000,0.5,100,2255688,2733
1254000,0.5,144,2269840,3936
1254000,0.5,192,2296993,5248
1254000,0.5,240,2345082,6560
1254000,0.65,100,3487057,3553
1254000,0.65,144,3441597,5117
1254000,0.65,192,3425060,6822
1254000,0.65,240,3471757,8528
1254000,0.8,100,6304571,4373
1254000,0.8,144,6159967,6298
1254000,0.8,192,6060545,8397
1254000,0.8,240,6060586,10496
1279000,0.2,100,1106259,1093
1279000,0.2,144,1151609,1574
1279000,0.2,192,1213613,2099
1279000,0.2,240,1256152,2624
1279000,0.35,100,1622291,1913
1279000,0.35,144,1658118,2755
1279000,0.35,192,1695581,3674
1279000,0.35,240,1731257,4592
1279000,0.5,100,2344202,2733
1279000,0.5,144,2354371,3936
1279000,0.5,192,2395865,5248
1279000,0.5,240,2429393,6560
1279000,0.65,100,3610666,3553
1279000,0.65,144,3575296,5117
1279000,0.65,192,3580908,6822
1279000,0.65,240,3596775,8528
1279000,0.8,100,6542596,4373
1279000,0.8,144,6406216,6298
1279000,0.8,192,6356405,8397
1279000,0.8,240,6314605,10496
1304000,0.2,100,1122181,1093
1304000,0.2,144,1173985,1574
1304000,0.2,192,1233982,2099
1304000,0.2,240,1295120,2624
1304000,0.35,100,1634584,1913
1304000,0.35,144,1680824,2755
1304000,0.35,192,1725064,3674
1304000,0.35,240,1795199,4592
1304000,0.5,100,2378108,2733
1304000,0.5,144,2415880,3936
1304000,0.5,192,2427551,5248
1304000,0.5,240,2478946,6560
1304000,0.65,100,3668766,3553
1304000,0.65,144,3658480,5117
1304000,0.65,192,3647201,6822
1304000,0.65,240,3664587,8528
1304000,0.8,100,6710225,4373
1304000,0.8,144,6608043,6298
1304000,0.8,192,6516642,8397
1304000,0.8,240,6508923,10496
1329000,0.2,100,1125054,1093
1329000,0.2,144,1159046,1574
1329000,0.2,192,1217091,2099
1329000,0.2,240,1287690,2624
1329000,0.35,100,1643069,1913
1329000,0.35,144,1653685,2755
1329000,0.35,192,1697870,3674
1329000,0.35,240,1749107,4592
