height,c,L,size,attack_cost
1579000,0.2,192,835088,2099
1579000,0.2,240,927489,2624
1579000,0.35,100,995015,1913
1579000,0.35,144,1041427,2755
1579000,0.35,192,1103785,3674
1579000,0.35,240,1191928,4592
1579000,0.5,100,1368815,2733
1579000,0.5,144,1421485,3936
1579000,0.5,192,1488015,5248
1579000,0.5,240,1575450,6560
1579000,0.65,100,2078000,3553
1579000,0.65,144,2095850,5117
1579000,0.65,192,2158957,6822
1579000,0.65,240,2224779,8528
1579000,0.8,100,3726512,4373
1579000,0.8,144,3748001,6298
1579000,0.8,192,3718154,8397
1579000,0.8,240,3777484,10496
1604000,0.2,100,710018,1093
1604000,0.2,144,772754,1574
1604000,0.2,192,845580,2099
1604000,0.2,240,912117,2624
1604000,0.35,100,994039,1913
1604000,0.35,144,1032887,2755
1604000,0.35,192,1116528,3674
1604000,0.35,240,1187835,4592
1604000,0.5,100,1394734,2733
1604000,0.5,144,1449844,3936
1604000,0.5,192,1497775,5248
1604000,0.5,240,1575938,6560
1604000,0.65,100,2107091,3553
1604000,0.65,144,2144272,5117
1604000,0.65,192,2193471,6822
1604000,0.65,240,2239773,8528
1604000,0.8,100,3744190,4373
1604000,0.8,144,3785199,6298
1604000,0.8,192,3736375,8397
1604000,0.8,240,3802970,10496
1629000,0.2,100,705437,1093
1629000,0.2,144,763537,1574
1629000,0.2,192,845092,2099
1629000,0.2,240,922664,2624
1629000,0.35,100,994582,1913
1629000,0.35,144,1058562,2755
1629000,0.35,192,1102620,3674
1629000,0.35,240,1183199,4592
1629000,0.5,100,1380393,2733
1629000,0.5,144,1438919,3936
1629000,0.5,192,1497098,5248
1629000,0.5,240,1570869,6560
1629000,0.65,100,2084942,3553
1629000,0.65,144,2117243,5117
1629000,0.65,192,2198650,6822
1629000,0.65,240,2252028,8528
1629000,0.8,100,3766992,4373
1629000,0.8,144,3719728,6298
1629000,0.8,192,3756737,8397
1629000,0.8,240,3760868,10496
1654000,0.2,100,711537,1093
1654000,0.2,144,784765,1574
1654000,0.2,192,849539,2099
1654000,0.2,240,915344,2624
1654000,0.35,100,1008301,1913
1654000,0.35,144,1040506,2755
1654000,0.35,192,1115851,3674
1654000,0.35,240,1185938,4592
1654000,0.5,100,1428516,2733
1654000,0.5,144,1451418,3936
1654000,0.5,192,1503741,5248
1654000,0.5,240,1566044,6560
1654000,0.65,100,2077732,3553
1654000,0.65,144,2143162,5117
1654000,0.65,192,2187237,6822
1654000,0.65,240,2231343,8528
1654000,0.8,100,3776429,4373
1654000,0.8,144,3770590,6298
1654000,0.8,192,3740743,8397
1654000,0.8,240,3782749,10496
1679000,0.2,100,709097,1093
1679000,0.2,144,760365,1574
1679000,0.2,192,845391,2099
1679000,0.2,240,926324,2624
1679000,0.35,100,1003421,1913
1679000,0.35,144,1042513,2755
1679000,0.35,192,1115851,3674
1679000,0.35,240,1184962,4592
1679000,0.5,100,1421440,2733
1679000,0.5,144,1439950,3936
1679000,0.5,192,1523072,5248
1679000,0.5,240,1568295,6560
1679000,0.65,100,2111947,3553
1679000,0.65,144,2136629,5117
1679000,0.65,192,2191440,6822
1679000,0.65,240,2216026,8528
1679000,0.8,100,3747991,4373
1679000,0.8,144,3738492,6298
1679000,0.8,192,3801664,8397
1679000,0.8,240,3759435,10496
1704000,0.2,100,697138,1093
1704000,0.2,144,777741,1574
