height,c,L,size,attack_cost
1279000,0.5,240,1040080,6560
1279000,0.65,100,1313275,3553
1279000,0.65,144,1327032,5117
1279000,0.65,192,1369399,6822
1279000,0.65,240,1403257,8528
1279000,0.8,100,2330874,4373
1279000,0.8,144,2305271,6298
1279000,0.8,192,2265176,8397
1279000,0.8,240,2285222,10496
1304000,0.2,100,588660,1093
1304000,0.2,144,653592,1574
1304000,0.2,192,726174,2099
1304000,0.2,240,800275,2624
1304000,0.35,100,817681,1913
1304000,0.35,144,888737,2755
1304000,0.35,192,949875,3674
1304000,0.35,240,1011910,4592
1304000,0.5,100,1158269,2733
1304000,0.5,144,1196244,3936
1304000,0.5,192,1245450,5248
1304000,0.5,240,1323369,6560
1304000,0.65,100,1747137,3553
1304000,0.65,144,1747474,5117
1304000,0.65,192,1787157,6822
1304000,0.65,240,1844439,8528
1304000,0.8,100,3102778,4373
1304000,0.8,144,3034719,6298
1304000,0.8,192,3070807,8397
1304000,0.8,240,3068594,10496
1329000,0.2,100,582883,1093
1329000,0.2,144,652451,1574
1329000,0.2,192,723081,2099
1329000,0.2,240,799622,2624
1329000,0.35,100,834486,1913
1329000,0.35,144,866258,2755
1329000,0.35,192,931843,3674
1329000,0.35,240,1004071,4592
1329000,0.5,100,1160324,2733
1329000,0.5,144,1186099,3936
1329000,0.5,192,1236525,5248
1329000,0.5,240,1310784,6560
1329000,0.65,100,1730184,3553
1329000,0.65,144,1734913,5117
1329000,0.65,192,1789236,6822
1329000,0.65,240,1813334,8528
1329000,0.8,100,3073319,4373
1329000,0.8,144,2999648,6298
1329000,0.8,192,3006401,8397
1329000,0.8,240,3019371,10496
1354000,0.2,100,601300,1093
1354000,0.2,144,679164,1574
1354000,0.2,192,741254,2099
1354000,0.2,240,829507,2624
1354000,0.35,100,865433,1913
1354000,0.35,144,913498,2755
1354000,0.35,192,975667,3674
1354000,0.35,240,1044778,4592
1354000,0.5,100,1202636,2733
1354000,0.5,144,1251646,3936
1354000,0.5,192,1296216,5248
1354000,0.5,240,1364863,6560
1354000,0.65,100,1810220,3553
1354000,0.65,144,1811045,5117
1354000,0.65,192,1874884,6822
1354000,0.65,240,1901178,8528
1354000,0.8,100,3245615,4373
1354000,0.8,144,3192983,6298
1354000,0.8,192,3184852,8397
1354000,0.8,240,3194351,10496
1379000,0.2,100,501871,1093
1379000,0.2,144,551187,1574
1379000,0.2,192,615473,2099
1379000,0.2,240,681278,2624
1379000,0.35,100,679119,1913
1379000,0.35,144,729191,2755
1379000,0.35,192,793068,3674
1379000,0.35,240,856512,4592
1379000,0.5,100,947809,2733
1379000,0.5,144,972907,3936
1379000,0.5,192,1028701,5248
1379000,0.5,240,1070453,6560
1379000,0.65,100,1406796,3553
1379000,0.65,144,1398349,5117
1379000,0.65,192,1442125,6822
1379000,0.65,240,1478423,8528
1379000,0.8,100,2483158,4373
1379000,0.8,144,2451022,6298
1379000,0.8,192,2410683,8397
1379000,0.8,240,2415058,10496
1404000,0.2,100,619758,1093
1404000,0.2,144,673466,1574
1404000,0.2,192,730621,2099
1404000,0.2,240,808437,2624
1404000,0.35,100,851219,1913
1404000,0.35,144,887383,2755
1404000,0.35,192,949985,3674
1404000,0.35,240,1017876,4592
1404000,0.5,100,1177222,2733
1404000,0.5,144,1214465,3936
1404000,0.5,192,1263915,5248
1404000,0.5,240,1326462,6560
1404000,0.65,100,1776204,3553
1404000,0.65,144,1783373,5117
1404000,0.65,192,1820860,6822
1404000,0.65,240,1855694,8528
1404000,0.8,100,3144320,4373
1404000,0.8,144,3086265,6298
1404000,0.8,192,3066910,8397
1404000,0.8,240,3102572,10496
1429000,0.2,100,641488,1093
1429000,0.2,144,713984,1574
1429000,0.2,192,782906,2099
1429000,0.2,240,851395,2624
1429000,0.35,100,924495,1913
1429000,0.35,144,949679,2755
1429000,0.35,192,1023017,3674
1429000,0.35,240,1082856,4592
1429000,0.5,100,1259320,2733
1429000,0.5,144,1306622,3936
1429000,0.5,192,1359732,5248
1429000,0.5,240,1434912,6560
1429000,0.65,100,1911271,3553
1429000,0.65,144,1913993,5117
1429000,0.65,192,1949284,6822
1429000,0.65,240,1987290,8528
1429000,0.8,100,3399972,4373
1429000,0.8,144,3376077,6298
1429000,0.8,192,3336714,8397
1429000,0.8,240,3390432,10496
1454000,0.2,100,645069,1093
1454000,0.2,144,696337,1574
1454000,0.2,192,784047,2099
1454000,0.2,240,859612,2624
1454000,0.35,100,911838,1913
1454000,0.35,144,974354,2755
1454000,0.35,192,1042623,3674
1454000,0.35,240,1105579,4592
1454000,0.5,100,1278792,2733
1454000,0.5,144,1321214,3936
1454000,0.5,192,1391349,5248
1454000,0.5,240,1427788,6560
1454000,0.65,100,1931939,3553
1454000,0.65,144,1946672,5117
1454000,0.65,192,1983671,6822
1454000,0.65,240,2029729,8528
1454000,0.8,100,3433012,4373
1454000,0.8,144,3411557,6298
1454000,0.8,192,3383717,8397
1454000,0.8,240,3455924,10496
1479000,0.2,100,674081,1093
1479000,0.2,144,713393,1574
1479000,0.2,192,791099,2099
1479000,0.2,240,865932,2624
1479000,0.35,100,916505,1913
1479000,0.35,144,986097,2755
1479000,0.35,192,1052658,3674
1479000,0.35,240,1099510,4592
1479000,0.5,100,1294360,2733
1479000,0.5,144,1335074,3936
1479000,0.5,192,1382517,5248
1479000,0.5,240,1453116,6560
1479000,0.65,100,1942414,3553
1479000,0.65,144,1944703,5117
1479000,0.65,192,1977554,6822
1479000,0.65,240,2064360,8528
1479000,0.8,100,3461227,4373
1479000,0.8,144,3422692,6298
1479000,0.8,192,3449996,8397
1479000,0.8,240,3482919,10496
1504000,0.2,100,657190,1093
1504000,0.2,144,713094,1574
1504000,0.2,192,777868,2099
1504000,0.2,240,869537,2624
1504000,0.35,100,929138,1913
1504000,0.35,144,976038,2755
1504000,0.35,192,1042599,3674
1504000,0.35,240,1106287,4592
1504000,0.5,100,1300106,2733
1504000,0.5,144,1346676,3936
1504000,0.5,192,1380754,5248
1504000,0.5,240,1456721,6560
1504000,0.65,100,1943280,3553
1504000,0.65,144,1972598,5117
1504000,0.65,192,1981781,6822
1504000,0.65,240,2045895,8528
1504000,0.8,100,3439724,4373
1504000,0.8,144,3421929,6298
1504000,0.8,192,3428926,8397
1504000,0.8,240,3473128,10496
1529000,0.2,100,638962,1093
1529000,0.2,144,699502,1574
1529000,0.2,192,774036,2099
1529000,0.2,240,831057,2624
