,chaintip,c,L,m,N_a,protocol
109,1379000,0.15926810347037024,156.96802721488376,207.7391578040672,25.0,non_interactive
110,1404000,0.15911492929194612,157.11913464845074,208.12873411990248,25.0,non_interactive
111,1429000,0.15896476846526678,157.26755205800467,208.51149628580353,25.0,non_interactive
112,1454000,0.15881751011435283,157.41337326091647,208.8876798027541,25.0,non_interactive
113,1479000,0.15867304927053408,157.55668725679777,209.25750815190952,25.0,non_interactive
114,1504000,0.15853128646373238,157.69757855159597,209.62119359947374,25.0,non_interactive
115,1529000,0.15839212734830613,157.8361274549,209.9789379352864,25.0,non_interactive
116,1554000,0.15825548236002068,157.97241035306862,210.3309331515692,25.0,non_interactive
117,1579000,0.1581212664010996,158.1064999605021,210.6773620675574,25.0,non_interactive
118,1604000,0.1579893985506513,158.23846555112377,211.01839890511397,25.0,non_interactive
119,1629000,0.15785980179806486,158.368373171912,211.35420981987104,25.0,non_interactive
120,1654000,0.1577324027972337,158.49628584012447,211.68495339196375,25.0,non_interactive
121,1679000,0.1576071316396865,158.62226372569066,212.0107810799864,25.0,non_interactive
122,1704000,0.15748392164491715,158.74636432008666,212.33183764143385,25.0,non_interactive
123,1729000,0.15736270916637563,158.86864259287842,212.64826152255358,25.0,non_interactive
124,1754000,0.15724343341174088,158.98915113699957,212.96018522024156,25.0,non_interactive
125,1779000,0.15712603627624055,159.10794030371858,213.26773561835563,25.0,non_interactive
126,1804000,0.1570104621878963,159.22505832816543,213.5710343005832,25.0,non_interactive
127,1829000,0.15689665796369295,159.34055144619578,213.87019784180285,25.0,non_interactive
128,1854000,0.15678457267575996,159.45446400330167,214.16533807968693,25.0,non_interactive
129,1879000,0.15667415752674524,159.56683855620764,214.45656236813352,25.0,non_interactive
130,1904000,0.15656536573363358,159.67771596773696,214.74397381396614,25.0,non_interactive
131,1929000,0.1564581524193384,159.7871354954718,215.0276714982131,25.0,non_interactive
132,1954000,0.1563524745114494,159.8951348746917,215.3077506831526,25.0,non_interactive
133,1979000,0.15624829064758258,160.0017503960245,215.58430300621202,25.0,non_interactive
134,2004000,0.15614556108682015,160.1070169782123,215.8574166617094,25.0,non_interactive
135,2029000,0.15604424762678196,160.2109682363532,216.12717657134073,25.0,non_interactive
136,2054000,0.155944313525902,160.3136365459556,216.39366454423924,25.0,non_interactive
137,2079000,0.1558457234305283,160.41505310310492,216.656959427365,25.0,non_interactive
138,2104000,0.15574844330648732,160.5152479810287,216.9171372469133,25.0,non_interactive
139,2129000,0.15565244037479511,160.61425018330945,217.17427134138242,25.0,non_interactive
140,2154000,0.1555576830512157,160.71208769398436,217.42843248688462,25.0,non_interactive
141,2179000,0.15546414088939378,160.8087875247479,217.67968901522897,25.0,non_interactive
142,2204000,0.15537178452731557,160.90437575945333,217.9281069252848,25.0,non_interactive
143,2229000,0.15528058563686337,160.99887759609942,218.1737499880644,25.0,non_interactive
144,2254000,0.1551905168762555,161.09231738646946,218.41667984595716,25.0,non_interactive
145,2279000,0.15510155184517488,161.18471867357874,218.65695610649442,25.0,non_interactive
146,2304000,0.15501366504240796,161.2761042270732,218.89463643100655,25.0,non_interactive
147,2329000,0.15492683182582628,161.36649607671447,219.1297766185016,25.0,non_interactive
148,2354000,0.1548410283745591,161.45591554407156,219.36243068507065,25.0,non_interactive
149,2379000,0.1547562316532138,161.5443832725351,219.59265093910474,25.0,non_interactive
150,2404000,0.15467241937801354,161.63191925575913,219.82048805258344,25.0,non_interactive
151,2429000,0.15458956998473106,161.7185428646271,220.04599112868178,25.0,non_interactive
152,2454000,0.15450766259830548,161.80427287283408,220.26920776591976,25.0,non_interactive
153,2479000,0.15442667700403734,161.8891274811696,220.4901841190634,25.0,non_interactive
154,2504000,0.1543465936202649,161.9731243405791,220.7089649569757,25.0,non_interactive
155,2529000,0.1542673934724319,162.05628057407728,220.92559371759586,25.0,non_interactive
156,2554000,0.15418905816846334,162.1386127975799,221.14011256021942,25.0,non_interactive
157,2579000,0.15411156987537003,162.22013713971955,221.35256241523354,25.0,non_interactive
158,2604000,0.15403491129700986,162.30086926070314,221.56298303145846,25.0,non_interactive
159,2629000,0.1539590656529378,162.38082437026637,221.7714130212261,25.0,non_interactive
160,2654000,0.15388401665828302,162.46001724477563,221.9778899033336,25.0,non_interactive
161,2679000,0.1538097485045921,162.53846224352685,222.18245014398155,25.0,non_interactive
162,2704000,0.15373624584158316,162.61617332428645,222.38512919581413,25.0,non_interactive
163,2729000,0.15366349375976276,162.6931640581136,222.58596153516652,25.0,non_interactive
164,2754000,0.15359147777385365,162.76944764350608,222.78498069761505,25.0,non_interactive
165,2779000,0.15352018380698948,162.84503691990628,222.9822193119227,25.0,non_interactive
166,2804000,0.1534495981756373,162.91994438059837,223.17770913246787,25.0,non_interactive
167,2829000,0.15337970757520314,162.99418218503465,223.37148107023464,25.0,non_interactive
168,2854000,0.1533104990662879,163.06776217061676,223.56356522244133,25.0,non_interactive
169,2879000,0.15324196006155802,163.1406958639617,223.75399090088013,25.0,non_interactive
170,2904000,0.15317407831319652,163.21299449168063,223.942786659031,25.0,non_interactive
171,2929000,0.1531068419009062,163.2846689906941,224.12998031801757,25.0,non_interactive
172,2954000,0.15304023922043516,163.35573001810755,224.3155989914591,25.0,non_interactive
173,2979000,0.15297425897259728,163.4261879606707,224.49966910927782,25.0,non_interactive
174,3004000,0.15290889015276435,163.49605294383886,224.6822164405136,25.0,non_interactive
175,3029000,0.1528441220408018,163.5653348404608,224.86326611519164,25.0,non_interactive
176,3054000,0.15277994419143132,163.63404327910553,225.042842645296,25.0,non_interactive
177,3079000,0.15271634642499357,163.7021876520515,225.22096994488683,25.0,non_interactive
178,3104000,0.1526533188185957,163.7697771229497,225.39767134940698,25.0,non_interactive
179,3129000,0.15259085169762082,163.8368206341809,225.5729696342137,25.0,non_interactive
180,904000,0.2625548005533227,190.4364342020302,201.5608704845636,50.0,interactive
181,929000,0.2622637853447224,190.647747779128,202.05797489925135,50.0,interactive
182,954000,0.2619814372609305,190.85321663534725,202.54153973595137,50.0,interactive
183,979000,0.2617072788368715,191.05315000109803,203.01227543248663,50.0,interactive
184,1004000,0.26144087033834007,191.2478333448523,203.47083814528074,50.0,interactive
185,1029000,0.2611818059231323,191.4375307394703,203.91783513152026,50.0,interactive
186,1054000,0.26092971027571704,191.6224869416611,204.35382948113104,50.0,interactive
187,1079000,0.2606842356472857,191.8029292252702,204.77934429052902,50.0,interactive
188,1104000,0.2604450592441688,191.9790690025135,205.19486635529083,50.0,interactive
189,1129000,0.26021188091672365,192.15110326189003,205.6008494467326,50.0,interactive
190,1154000,0.25998442110828873,192.319215847068,205.9977172273811,50.0,interactive
191,1179000,0.2597624190299855,192.4835785973655,206.38586585202492,50.0,interactive
192,1204000,0.25954563103227324,192.64435236739834,206.7656662941487,50.0,interactive
193,1229000,0.25933382914843356,192.8016879409194,207.13746643179564,50.0,interactive
194,1254000,0.25912679978872966,192.9557268517414,207.50159292208272,50.0,interactive
195,1279000,0.25892434256698377,193.10660212283824,207.85835288954064,50.0,interactive
196,1304000,0.2587262692438335,193.25443893321128,208.20803545000953,50.0,interactive
197,1329000,0.25853240277307127,193.3993552208149,208.55091308893893,50.0,interactive
198,1354000,0.25834257643927,193.5414622287541,208.88724291045114,50.0,interactive
199,1379000,0.2581566330764459,193.68086500103175,209.21726777143408,50.0,interactive
200,1404000,0.25797442435882206,193.8176628333278,209.541217313123,50.0,interactive
201,1429000,0.2577958101558822,193.95194968361332,209.85930890108418,50.0,interactive
202,1454000,0.2576206579448695,194.08381454681302,210.17174848318206,50.0,interactive
203,1479000,0.25744884227472214,194.21334179722314,210.47873137396405,50.0,interactive
204,1504000,0.2572802442761532,194.34061150195512,210.78044297290293,50.0,interactive
205,1529000,0.2571147512132062,194.4656997082937,211.07705942307206,50.0,interactive
206,1554000,0.2569522560721586,194.58867870752906,211.3687482160813,50.0,interactive
207,1579000,0.25679265718411504,194.70961727753388,211.65566874844637,50.0,interactive
208,1604000,0.25663585787804194,194.82858090610594,211.9379728339924,50.0,interactive
209,1629000,0.25648176616135726,194.94563199687306,212.21580517639435,50.0,interactive
210,1654000,0.25633029442549554,195.06083005937055,212.48930380551215,50.0,interactive
211,1679000,0.2561813591741538,195.17423188472375,212.7586004808028,50.0,interactive
212,1704000,0.2560348807721578,195.28589170822536,213.0238210647362,50.0,interactive
213,1729000,0.25589078321310854,195.39586135995947,213.28508586885638,50.0,interactive
214,1754000,0.25574899390415257,195.50419040451268,213.54250997485306,50.0,interactive
215,1779000,0.25560944346639014,195.61092627070508,213.7962035327758,50.0,interactive
216,1804000,0.25547206554958257,195.71611437218326,214.04627203831706,50.0,interactive
217,1829000,0.25533679665995146,195.8197982196363,214.29281659089963,50.0,interactive
218,1854000,0.25520357599997784,195.92201952532335,214.53593413413975,50.0,interactive
219,1879000,0.25507234531921635,196.02281830053474,214.7757176801109,50.0,interactive
220,1904000,0.2549430487752323,196.12223294655092,215.01225651869913,50.0,interactive
221,1929000,0.2548156328038485,196.2203003396142,215.24563641322055,50.0,interactive
222,1954000,0.25469004599796974,196.31705591037732,215.47593978337162,50.0,interactive
223,1979000,0.2545662389943129,196.41253371825562,215.70324587647966,50.0,interactive
224,2004000,0.25444416436743705,196.5067665210672,215.92763092794237,50.0,interactive
225,2029000,0.25432377653051513,196.59978584031734,216.1491683116614,50.0,interactive
226,2054000,0.2542050316423434,196.69162202244704,216.36792868121248,50.0,interactive
227,2079000,0.2540878875201242,196.7823042963428,216.58398010242436,50.0,interactive
228,2104000,0.2539723035575991,196.87186082737702,216.79738817798858,50.0,interactive
229,2129000,0.25385824064814483,196.96031876822744,217.00821616466627,50.0,interactive
230,2154000,0.2537456611124771,197.047704306702,217.21652508361254,50.0,interactive
231,2179000,0.25363452863063535,197.13404271077914,217.42237382430048,50.0,interactive
232,2204000,0.25352480817794903,197.21935837105536,217.6258192424803,50.0,interactive
233,2229000,0.2534164659647107,197.30367484077658,217.82691625258292,50.0,interactive
234,2254000,0.2533094693793012,197.38701487361638,218.02571791494128,50.0,interactive
235,2279000,0.25320378693453494,197.46940045935153,218.22227551817204,50.0,interactive
236,2304000,0.25309938821700767,197.5508528575737,218.41663865703717,50.0,interactive
237,2329000,0.25299624383925023,197.63139262956489,218.60885530608127,50.0,interactive
238,2354000,0.2528943253945034,197.71103966845567,218.79897188931398,50.0,interactive
239,2379000,0.25279360541394313,197.78981322777634,218.98703334618887,50.0,interactive
240,2404000,0.2526940573262016,197.867731948501,219.17308319411728,50.0,interactive
241,2429000,0.25259565541900697,197.94481388470336,219.35716358770406,50.0,interactive
242,2454000,0.25249837480287657,198.02107652785725,219.5393153749639,50.0,interactive
243,2479000,0.2524021913768427,198.09653682978038,219.7195781507855,50.0,interactive
244,2504000,0.2523070817955714,198.17121122470857,219.8979903074069,50.0,interactive
245,2529000,0.25221302343846036,198.24511565002484,220.0745890826068,50.0,interactive
246,2554000,0.2521199943802105,198.31826556602772,220.24941060544444,50.0,interactive
247,2579000,0.2520279733638691,198.39067597393944,220.4224899405475,50.0,interactive
248,2604000,0.25193693977025655,198.46236143693508,220.5938611263542,50.0,interactive
249,2629000,0.2518468735986939,198.533336092441,220.76355721923449,50.0,interactive
250,2654000,0.2517577554389607,198.6036136714868,220.93161032787094,50.0,interactive
251,2679000,0.2516695664494052,198.67320751335993,221.09805164980085,50.0,interactive
252,2704000,0.2515822883351492,198.74213058032026,221.26291150550426,50.0,interactive
253,2729000,0.251495903327318,198.81039547163428,221.42621937091187,50.0,interactive
254,2754000,0.2514103941632453,198.8780144369612,221.58800390842524,50.0,interactive
255,2779000,0.251325744067593,198.94499938913026,221.74829299652544,50.0,interactive
256,2804000,0.2512419367343399,199.01136191634032,221.9071137580479,50.0,interactive
257,2829000,0.25115895630958973,199.0771132938129,222.06449258719746,50.0,interactive
258,2854000,0.25107678737515565,199.14226449492782,222.22045517536645,50.0,interactive
259,2879000,0.25099541493287825,199.20682620186952,222.37502653582166,50.0,interactive
260,2904000,0.25091482438963947,199.27080881580846,222.52823102731676,50.0,interactive
261,2929000,0.25083500154303484,199.3342224666428,222.68009237668787,50.0,interactive
262,2954000,0.2507559325676723,199.39707702232064,222.83063370048458,50.0,interactive
263,2979000,0.2506776040020598,199.45938209776872,222.97987752568181,50.0,interactive
264,3004000,0.2506000027360575,199.52114706344244,223.12784580952334,50.0,interactive
265,3029000,0.2505231159988627,199.58238105351919,223.27455995853754,50.0,interactive
266,3054000,0.25044693134750085,199.643092973752,223.42004084676796,50.0,interactive
267,3079000,0.25037143665579864,199.70329150899965,223.56430883325658,50.0,interactive
268,3104000,0.2502966201038127,199.7629851304507,223.70738377881443,50.0,interactive
269,3129000,0.25022247016769505,199.82218210255382,223.84928506211747,50.0,interactive
270,904000,0.22942540200362796,217.93576283767104,241.17508909800998,50.0,non_interactive
271,929000,0.22910080634398625,218.24453958894793,241.8783656075953,50.0,non_interactive
272,954000,0.22878584004455121,218.54499382594463,242.56305178256434,50.0,non_interactive
273,979000,0.22847997386170693,218.8375600491959,243.23010838635295,50.0,non_interactive
274,1004000,0.22818272030481482,219.12263966880653,243.8804235140626,50.0,non_interactive
275,1029000,0.22789362939365607,219.4006042776721,244.51481974346527,50.0,non_interactive
276,1054000,0.22761228493864857,219.6717985300186,245.13406042731546,50.0,non_interactive
277,1079000,0.2273383012686624,219.9365426809947,245.73885524782526,50.0,non_interactive
278,1104000,0.22707132034353636,220.19513483409074,246.3298651347521,50.0,non_interactive
279,1129000,0.2268110091984569,220.44785293579204,246.90770663265099,50.0,non_interactive
280,1154000,0.22655705767561166,220.69495655081676,247.47295578970898,50.0,non_interactive
281,1179000,0.22630917640535356,220.93668844626313,248.02615162971517,50.0,non_interactive
282,1204000,0.22606709500476205,221.17327600881836,248.56779925967155,50.0,non_interactive
283,1229000,0.22583056046619537,221.4049325156969,249.09837265798697,50.0,non_interactive
284,1254000,0.22559933571237362,221.63185827704373,249.61831718187332,50.0,non_interactive
285,1279000,0.2253731982978238,221.85424166509156,250.12805182720123,50.0,non_interactive
286,1304000,0.22515193923931512,222.07226004327129,250.62797126958765,50.0,non_interactive
