height,c,L,size,attack_cost
1329000,0.35,100,890775,1913
1329000,0.35,144,957927,2755
1329000,0.35,192,999789,3674
1329000,0.35,240,1093300,4592
1329000,0.5,100,1240460,2733
1329000,0.5,144,1279466,3936
1329000,0.5,192,1336181,5248
1329000,0.5,240,1402876,6560
1329000,0.65,100,1860344,3553
1329000,0.65,144,1867702,5117
1329000,0.65,192,1935445,6822
1329000,0.65,240,1955395,8528
1329000,0.8,100,3295812,4373
1329000,0.8,144,3267769,6298
1329000,0.8,192,3249445,8397
1329000,0.8,240,3306036,10496
1354000,0.2,100,642708,1093
1354000,0.2,144,700808,1574
1354000,0.2,192,768998,2099
1354000,0.2,240,842123,2624
1354000,0.35,100,887163,1913
1354000,0.35,144,938943,2755
1354000,0.35,192,1011116,3674
1354000,0.35,240,1087492,4592
1354000,0.5,100,1234243,2733
1354000,0.5,144,1265874,3936
1354000,0.5,192,1336064,5248
1354000,0.5,240,1377139,6560
1354000,0.65,100,1836607,3553
1354000,0.65,144,1857684,5117
1354000,0.65,192,1907127,6822
1354000,0.65,240,1946597,8528
1354000,0.8,100,3251919,4373
1354000,0.8,144,3235344,6298
1354000,0.8,192,3276312,8397
1354000,0.8,240,3270439,10496
1379000,0.2,100,685484,1093
1379000,0.2,144,723521,1574
1379000,0.2,192,812695,2099
1379000,0.2,240,882947,2624
1379000,0.35,100,944373,1913
1379000,0.35,144,982733,2755
1379000,0.35,192,1046610,3674
1379000,0.35,240,1110786,4592
1379000,0.5,100,1326036,2733
1379000,0.5,144,1349426,3936
1379000,0.5,192,1403945,5248
1379000,0.5,240,1456244,6560
1379000,0.65,100,1957684,3553
1379000,0.65,144,1972850,5117
1379000,0.65,192,2011557,6822
1379000,0.65,240,2075671,8528
1379000,0.8,100,3445266,4373
1379000,0.8,144,3414051,6298
1379000,0.8,192,3412075,8397
1379000,0.8,240,3430846,10496
1404000,0.2,100,645526,1093
1404000,0.2,144,690639,1574
1404000,0.2,192,758884,2099
1404000,0.2,240,839329,2624
1404000,0.35,100,876018,1913
1404000,0.35,144,932922,2755
1404000,0.35,192,982836,3674
1404000,0.35,240,1038283,4592
1404000,0.5,100,1223421,2733
1404000,0.5,144,1248763,3936
1404000,0.5,192,1327981,5248
1404000,0.5,240,1349536,6560
1404000,0.65,100,1794199,3553
1404000,0.65,144,1816252,5117
1404000,0.65,192,1863499,6822
1404000,0.65,240,1912729,8528
1404000,0.8,100,3228835,4373
1404000,0.8,144,3216408,6298
1404000,0.8,192,3169725,8397
1404000,0.8,240,3173911,10496
1429000,0.2,100,661235,1093
1429000,0.2,144,740563,1574
1429000,0.2,192,799237,2099
1429000,0.2,240,873582,2624
1429000,0.35,100,938527,1913
1429000,0.35,144,986891,2755
1429000,0.35,192,1034121,3674
1429000,0.35,240,1117140,4592
1429000,0.5,100,1297869,2733
1429000,0.5,144,1338528,3936
1429000,0.5,192,1404814,5248
1429000,0.5,240,1471021,6560
1429000,0.65,100,1962278,3553
