height,sample_count,optimization_type,size
2954000,701,none,4988712
2979000,583,none,3887260
3004000,735,none,4678073
3029000,750,none,4770154
3054000,655,none,4074897
3079000,586,none,3881270
3104000,663,none,4030984
3129000,763,none,5052445
3154000,654,none,4649895
3179000,522,none,3799670
3204000,166,none,1061198
3229000,749,none,5256202
3254000,709,none,5235403
3279000,785,none,5648283
3304000,766,none,4699786
3329000,788,none,5431532
3354000,709,none,4776683
3379000,588,none,4261044
3404000,771,none,5530881
3429000,697,none,5052231
3454000,660,none,4892383
3479000,739,none,5646973
904000,135,none,452805
929000,316,none,1778652
954000,396,none,2164424
979000,439,none,2357597
1004000,544,none,3163692
1029000,482,none,2978554
1054000,481,none,3054383
1079000,504,none,3027832
1104000,485,none,3052651
1129000,567,none,3389733
1154000,210,none,1399554
1179000,485,none,3257611
1204000,604,none,3916124
1229000,524,none,3554020
1254000,610,none,4089206
1279000,507,none,2970169
1304000,439,none,2869317
1329000,516,none,3531864
1354000,505,none,3866515
1379000,568,none,3659164
1404000,499,none,3635361
1429000,535,none,3797405
1454000,547,none,3852965
1479000,568,none,4222804
1504000,588,none,4035048
1529000,427,none,2987241
1554000,545,none,3717679
1579000,572,none,3792797
1604000,569,none,3693867
1629000,526,none,3811550
1654000,578,none,4249218
1679000,525,none,3828087
1704000,297,none,2225399
1729000,631,none,4261161
1754000,637,none,4661651
1779000,477,none,3601455
1804000,552,none,4097429
1829000,584,none,4340804
1854000,565,none,3669787
1879000,573,none,3813211
1904000,587,none,3813493
1929000,582,none,3150758
1954000,612,none,4391684
1979000,591,none,3801946
2004000,636,none,4500120
2029000,526,none,3699606
2054000,648,none,4750880
2079000,642,none,4223510
2104000,628,none,4905452
2129000,555,none,4255514
2154000,721,none,4827851
2179000,613,none,4198735
2204000,620,none,4328141
2229000,602,none,4365947
2254000,640,none,4876832
2279000,597,none,4272763
2304000,682,none,4668271
2329000,602,none,4542902
2354000,681,none,5213556
2379000,694,none,4256815
2404000,693,none,4608907
2429000,611,none,4364301
2454000,635,none,4612250
2479000,617,none,4401963
2504000,672,none,4418896
2529000,554,none,4284306
2554000,584,none,4500133
2579000,622,none,4486363
2604000,707,none,5036866
2629000,710,none,4658343
2654000,725,none,5024003
2679000,645,none,4731628
2704000,709,none,4930403
2729000,664,none,4874437
2754000,598,none,4454543
2779000,684,none,4620557
2804000,709,none,5125060
2829000,593,none,4527224
2854000,719,none,5878350
2879000,648,none,4682804
2904000,634,none,4562419
2929000,680,none,4530844
2954000,701,none,4973340
2979000,583,none,3865001
3004000,735,none,4628541
3029000,750,none,4794609
3054000,655,none,4083437
3079000,586,none,3866197
3104000,663,none,4027513
3129000,763,none,5031949
3154000,654,none,4668305
3179000,522,none,3791563
3204000,166,none,1061442
3229000,749,none,5255903
3254000,709,none,5232042
3279000,785,none,5646575
3304000,766,none,4716433
3329000,788,none,5461300
3354000,709,none,4761067
3379000,588,none,4255432
3404000,771,none,5501656
3429000,697,none,5058087
3454000,660,none,4870856
3479000,739,none,5644533
904000,135,none,452805
929000,316,none,1777676
954000,396,none,2190532
979000,439,none,2375409
1004000,544,none,3146124
1029000,482,none,2934146
1054000,481,none,3072439
1079000,504,none,3046132
1104000,485,none,3056799
1129000,567,none,3398517
1154000,210,none,1405654
1179000,485,none,3271519
1204000,604,none,3957360
1229000,524,none,3566952
1254000,610,none,4052850
1279000,507,none,2998229
1304000,439,none,2871513
1329000,516,none,3535036
1354000,505,none,3877495
1379000,568,none,3651112
1404000,499,none,3636581
1429000,535,none,3825953
1454000,547,none,3847597
1479000,568,none,4177908
1504000,588,none,4006012
1529000,427,none,2991877
1554000,545,none,3733295
1579000,572,none,3786752
1604000,569,none,3715339
1629000,526,none,3803986
1654000,578,none,4268250
1679000,525,none,3847607
1704000,297,none,2224667
1729000,631,none,4216509
1754000,637,none,4615779
1779000,477,none,3603407
1804000,552,none,4121640
1829000,584,none,4360812
1854000,565,none,3681987
1879000,573,none,3848835
1904000,587,none,3798365
1929000,582,none,3095858
1954000,612,none,4386316
1979000,591,none,3797365
