height,cache_nodes,derive_parents,size
1054000,True,True,1605371
1054000,True,True,1593903
1054000,True,True,1603175
1054000,True,True,1599515
1054000,True,True,1601955
1054000,True,True,1599759
1054000,True,True,1594147
1054000,True,True,1602931
1054000,True,True,1605859
1054000,True,True,1602443
1054000,True,True,1589755
1054000,True,True,1597807
1054000,True,True,1576335
1054000,True,True,1598051
1054000,True,True,1603907
1054000,True,True,1592683
1054000,True,False,1595367
1054000,True,False,1602687
1054000,True,False,1601955
1054000,True,False,1609031
1054000,True,False,1595367
1054000,True,False,1582435
1054000,True,False,1595367
1054000,True,False,1599027
1054000,True,False,1605615
1054000,True,False,1613179
1054000,True,False,1601955
1054000,True,False,1592439
1054000,True,False,1611227
1054000,True,False,1604395
1054000,True,False,1608543
1054000,True,False,1605371
1054000,True,False,1587803
1054000,True,False,1603175
1054000,True,False,1590975
1054000,True,False,1589267
1054000,True,False,1596343
1054000,True,False,1592195
1054000,True,False,1581947
1054000,True,False,1617083
1054000,True,False,1600491
1054000,True,False,1599027
1054000,True,False,1600247
1054000,True,False,1599027
1054000,True,False,1598051
1054000,True,False,1602199
1054000,False,True,2193899
1054000,False,True,2186579
1054000,False,True,2176819
1054000,False,True,2175843
1054000,False,True,2170475
1054000,False,True,2187799
1054000,False,True,2165595
1054000,False,True,2189507
1054000,False,True,2184139
1054000,False,True,2174135
1054000,False,True,2180479
1054000,False,True,2179015
1054000,False,True,2193167
1054000,False,True,2175599
1054000,False,True,2180479
1054000,False,True,2180479
1054000,False,True,2195851
1054000,False,True,2176087
1054000,False,True,2170963
1054000,False,True,2213175
1054000,False,True,2178283
1054000,False,True,2182675
1054000,False,True,2186335
1054000,False,True,2173891
1054000,False,True,2184383
1054000,False,True,2173891
1054000,False,True,2197803
1054000,False,True,2198291
1054000,False,True,2177551
1054000,False,True,2176575
1054000,False,False,2199023
1054000,False,False,2211467
1054000,False,False,2211711
1054000,False,False,2188775
1054000,False,False,2209759
1054000,False,False,2219519
1054000,False,False,2208539
1054000,False,False,2212443
1054000,False,False,2201219
1054000,False,False,2231719
1054000,False,False,2211223
1054000,False,False,2204635
1054000,False,False,2223179
1054000,False,False,2218787
1054000,False,False,2196583
1054000,False,False,2194631
1054000,False,False,2214151
1054000,False,False,2192191
1054000,False,False,2171207
1054000,False,False,2196339
1054000,False,False,2198535
1054000,False,False,2189507
1054000,False,False,2220251
1054000,False,False,2201951
1054000,False,False,2204635
1054000,False,False,2214151
1054000,False,False,2194143
1054000,False,False,2226107
1054000,False,False,2203415
1054000,False,False,2203415
1104000,True,True,1614021
1104000,True,True,1610605
1104000,True,True,1608897
1104000,True,True,1610361
1104000,True,True,1612557
1104000,True,True,1615973
1104000,True,True,1623049
1104000,True,True,1622317
1104000,True,True,1623293
1104000,True,True,1593281
1104000,True,True,1622317
1104000,True,True,1590353
1104000,True,True,1597673
1104000,True,True,1600113
1104000,True,True,1597917
1104000,True,True,1620853
1104000,True,True,1611337
1104000,True,True,1601333
1104000,True,True,1625489
1104000,True,True,1609629
1104000,True,True,1626221
1104000,True,True,1597673
1104000,True,True,1618169
1104000,True,True,1608409
1104000,True,True,1602553
1104000,True,True,1615485
1104000,True,True,1615241
1104000,True,True,1609385
1104000,True,True,1623537
1104000,True,True,1629881
1104000,True,False,1610605
1104000,True,False,1615973
1104000,True,False,1615729
1104000,True,False,1617437
1104000,True,False,1610605
1104000,True,False,1618657
1104000,True,False,1635981
1104000,True,False,1620365
1104000,True,False,1611093
1104000,True,False,1635981
1104000,True,False,1634273
1104000,True,False,1604749
1104000,True,False,1618413
1104000,True,False,1610849
1104000,True,False,1625245
1104000,True,False,1593525
1104000,True,False,1635737
1104000,True,False,1614997
1104000,True,False,1608409
1104000,True,False,1619389
1104000,True,False,1637201
1104000,True,False,1613289
1104000,True,False,1619145
1104000,True,False,1616461
1104000,True,False,1616217
1104000,True,False,1618657
1104000,True,False,1620365
1104000,True,False,1608409
1104000,True,False,1606701
1104000,True,False,1620121
1104000,False,True,2168389
1104000,False,True,2168145
1104000,False,True,2195473
1104000,False,True,2181077
1104000,False,True,2156677
1104000,False,True,2189129
1104000,False,True,2185957
1104000,False,True,2180345
1104000,False,True,2167657
1104000,False,True,2169609
1104000,False,True,2174489
1104000,False,True,2177905
1104000,False,True,2168877
1104000,False,True,2164485
1104000,False,True,2187665
1104000,False,True,2163021
1104000,False,True,2147893
1104000,False,True,2178881
1104000,False,True,2169365
1104000,False,True,2186689
1104000,False,True,2167657
1104000,False,True,2184005
1104000,False,True,2184737
1104000,False,True,2166681
1104000,False,True,2170097
1104000,False,True,2177417
1104000,False,True,2186933
1104000,False,True,2171317
1104000,False,True,2184005
1104000,False,True,2167169
1104000,False,False,2190105
1104000,False,False,2188641
1104000,False,False,2193033
1104000,False,False,2209137
1104000,False,False,2212797
1104000,False,False,2212797
1104000,False,False,2185469
1104000,False,False,2191081
1104000,False,False,2179125
1104000,False,False,2167169
1104000,False,False,2167169
1104000,False,False,2184005
1104000,False,False,2193765
1104000,False,False,2198401
1104000,False,False,2172537
1104000,False,False,2194009
1104000,False,False,2194985
1104000,False,False,2185713
1104000,False,False,2185957
1104000,False,False,2184981
1104000,False,False,2198401
1104000,False,False,2206453
1104000,False,False,2178881
1104000,False,False,2202061
1104000,False,False,2193521
1104000,False,False,2204257
1104000,False,False,2201817
1104000,False,False,2198401
1104000,False,False,2192057
1104000,False,False,2207185
1154000,True,True,1639806
1154000,True,True,1626142
1154000,True,True,1629802
1154000,True,True,1628582
1154000,True,True,1636146
1154000,True,True,1641026
1154000,True,True,1632242
1154000,True,True,1635414
1154000,True,True,1625410
1154000,True,True,1614430
1154000,True,True,1640782
1154000,True,True,1628094
1154000,True,True,1628338
1154000,True,True,1622970
1154000,True,True,1630534
1154000,True,True,1629070
1154000,True,True,1636878
1154000,True,True,1627850
1154000,True,True,1627362
1154000,True,True,1633218
1154000,True,True,1629558
1154000,True,True,1626386
1154000,True,True,1619066
1154000,True,True,1621018
1154000,True,True,1633950
1154000,True,True,1627362
1154000,True,True,1634926
1154000,True,True,1631022
1154000,True,True,1622970
1154000,True,True,1627118
1154000,True,False,1651518
1154000,True,False,1640294
1154000,True,False,1645174
1154000,True,False,1629070
1154000,True,False,1632974
1154000,True,False,1631754
1154000,True,False,1641758
1154000,True,False,1635902
1154000,True,False,1635658
1154000,True,False,1622238
1154000,True,False,1634926
1154000,True,False,1636634
1154000,True,False,1647614
1154000,True,False,1640782
1154000,True,False,1647126
1154000,True,False,1636146
1154000,True,False,1632730
1154000,True,False,1644686
1154000,True,False,1627850
1154000,True,False,1634682
1154000,True,False,1628826
1154000,True,False,1647614
1154000,True,False,1634438
1154000,True,False,1634926
1154000,True,False,1640538
1154000,True,False,1642734
1154000,True,False,1638098
1154000,True,False,1640538
1154000,True,False,1632486
1154000,True,False,1633950
1154000,False,True,2203446
1154000,False,True,2183438
1154000,False,True,2211254
1154000,False,True,2184414
1154000,False,True,2194174
1154000,False,True,2200762
1154000,False,True,2204178
1154000,False,True,2211254
1154000,False,True,2206618
1154000,False,True,2196126
1154000,False,True,2193930
1154000,False,True,2219794
1154000,False,True,2198078
1154000,False,True,2183438
1154000,False,True,2195150
1154000,False,True,2214670
1154000,False,True,2198810
1154000,False,True,2209790
1154000,False,True,2218086
1154000,False,True,2222478
1154000,False,True,2198566
1154000,False,True,2208082
1154000,False,True,2190514
1154000,False,True,2210766
1154000,False,True,2201982
1154000,False,True,2204422
1154000,False,True,2202958
1154000,False,True,2210522
1154000,False,True,2169530
1154000,False,True,2205154
1154000,False,False,2215402
1154000,False,False,2214182
1154000,False,False,2222478
1154000,False,False,2229798
1154000,False,False,2203690
1154000,False,False,2229066
1154000,False,False,2230530
1154000,False,False,2208326
1154000,False,False,2232726
1154000,False,False,2232238
1154000,False,False,2224918
1154000,False,False,2227846
1154000,False,False,2229310
1154000,False,False,2233214
1154000,False,False,2200518
1154000,False,False,2209790
1154000,False,False,2206862
1154000,False,False,2222966
1154000,False,False,2221990
1154000,False,False,2228822
1154000,False,False,2227602
1154000,False,False,2214670
1154000,False,False,2233214
1154000,False,False,2227114
1154000,False,False,2243950
1154000,False,False,2233458
1154000,False,False,2217110
1154000,False,False,2215402
1154000,False,False,2225406
1154000,False,False,2209302
1204000,True,True,1643820
1204000,True,True,1643088
1204000,True,True,1655044
1204000,True,True,1645772
1204000,True,True,1649188
1204000,True,True,1634548
1204000,True,True,1635524
1204000,True,True,1654068
1204000,True,True,1647724
1204000,True,True,1635036
1204000,True,True,1638452
1204000,True,True,1635768
1204000,True,True,1651628
1204000,True,True,1630400
1204000,True,True,1656020
1204000,True,True,1654800
1204000,True,True,1649188
1204000,True,True,1669440
1204000,True,True,1634304
1204000,True,True,1637476
1204000,True,True,1635768
1204000,True,True,1641868
1204000,True,True,1650164
1204000,True,True,1636988
1204000,True,True,1644064
1204000,True,True,1641136
1204000,True,True,1646016
1204000,True,True,1635768
1204000,True,True,1643088
1204000,True,True,1639916
1204000,True,False,1643576
1204000,True,False,1653580
1204000,True,False,1642844
1204000,True,False,1661144
1204000,True,False,1651384
1204000,True,False,1664072
1204000,True,False,1650164
1204000,True,False,1656996
1204000,True,False,1651628
1204000,True,False,1666024
1204000,True,False,1649432
1204000,True,False,1635036
1204000,True,False,1647724
1204000,True,False,1652116
1204000,True,False,1653824
1204000,True,False,1652360
1204000,True,False,1647968
1204000,True,False,1656508
1204000,True,False,1668952
1204000,True,False,1655288
1204000,True,False,1664072
1204000,True,False,1652116
1204000,True,False,1644796
1204000,True,False,1641136
1204000,True,False,1660412
1204000,True,False,1644064
1204000,True,False,1634304
1204000,True,False,1635524
1204000,True,False,1642356
1204000,True,False,1649432
1204000,False,True,2259432
1204000,False,True,2271876
1204000,False,True,2274560
1204000,False,True,2268704
1204000,False,True,2278220
1204000,False,True,2265776
1204000,False,True,2280172
1204000,False,True,2275536
1204000,False,True,2282368
1204000,False,True,2272608
1204000,False,True,2258212
1204000,False,True,2276268
1204000,False,True,2280172
1204000,False,True,2274560
1204000,False,True,2270900
1204000,False,True,2279928
1204000,False,True,2261872
1204000,False,True,2273096
1204000,False,True,2282124
1204000,False,True,2276512
1204000,False,True,2275780
1204000,False,True,2275048
1204000,False,True,2256504
1204000,False,True,2266264
1204000,False,True,2267972
1204000,False,True,2261384
1204000,False,True,2271632
1204000,False,True,2273584
1204000,False,True,2265044
1204000,False,True,2265532
1204000,False,False,2300180
1204000,False,False,2278708
1204000,False,False,2275292
1204000,False,False,2311648
1204000,False,False,2285296
1204000,False,False,2303108
1204000,False,False,2296032
1204000,False,False,2285052
1204000,False,False,2293104
1204000,False,False,2294812
1204000,False,False,2281636
1204000,False,False,2293592
1204000,False,False,2314576
1204000,False,False,2300668
1204000,False,False,2285540
1204000,False,False,2297496
1204000,False,False,2303596
1204000,False,False,2280660
1204000,False,False,2285052
1204000,False,False,2304084
1204000,False,False,2272608
1204000,False,False,2293836
1204000,False,False,2266752
1204000,False,False,2297496
1204000,False,False,2291640
1204000,False,False,2297008
1204000,False,False,2289444
1204000,False,False,2292128
1204000,False,False,2288468
1204000,False,False,2306524
1254000,True,True,1659790
1254000,True,True,1663450
1254000,True,True,1643930
1254000,True,True,1657350
1254000,True,True,1663206
1254000,True,True,1663450
1254000,True,True,1661986
1254000,True,True,1663450
1254000,True,True,1668574
1254000,True,True,1668818
1254000,True,True,1660766
1254000,True,True,1661254
1254000,True,True,1641246
1254000,True,True,1660766
1254000,True,True,1659302
1254000,True,True,1658814
1254000,True,True,1658326
1254000,True,True,1648810
1254000,True,True,1647834
1254000,True,True,1649786
1254000,True,True,1659790
1254000,True,True,1665646
1254000,True,True,1677846
1254000,True,True,1655642
1254000,True,True,1673698
1254000,True,True,1677846
1254000,True,True,1657106
1254000,True,True,1664426
1254000,True,True,1667354
1254000,True,True,1668574
1254000,True,False,1670770
1254000,True,False,1672966
1254000,True,False,1691022
1254000,True,False,1666378
1254000,True,False,1672722
1254000,True,False,1679554
1254000,True,False,1663694
1254000,True,False,1656862
1254000,True,False,1670282
1254000,True,False,1682726
1254000,True,False,1667110
1254000,True,False,1665890
1254000,True,False,1661986
1254000,True,False,1679066
1254000,True,False,1661010
1254000,True,False,1681506
1254000,True,False,1670282
1254000,True,False,1673942
1254000,True,False,1675894
1254000,True,False,1678090
1254000,True,False,1658814
1254000,True,False,1664914
1254000,True,False,1656374
1254000,True,False,1672234
1254000,True,False,1665158
1254000,True,False,1672722
1254000,True,False,1661498
1254000,True,False,1661010
1254000,True,False,1658326
1254000,True,False,1662962
1254000,False,True,2286626
1254000,False,True,2276378
1254000,False,True,2262470
1254000,False,True,2269790
1254000,False,True,2286870
1254000,False,True,2284918
1254000,False,True,2275890
1254000,False,True,2297362
1254000,False,True,2272718
1254000,False,True,2277842
1254000,False,True,2285162
1254000,False,True,2269790
1254000,False,True,2270522
1254000,False,True,2270278
1254000,False,True,2298094
1254000,False,True,2278818
1254000,False,True,2301754
1254000,False,True,2283210
1254000,False,True,2296386
1254000,False,True,2276866
1254000,False,True,2282722
1254000,False,True,2289554
1254000,False,True,2278086
1254000,False,True,2277842
1254000,False,True,2288578
1254000,False,True,2279550
1254000,False,True,2297850
1254000,False,True,2260762
1254000,False,True,2299802
1254000,False,True,2281014
1254000,False,False,2304926
1254000,False,False,2304194
1254000,False,False,2296386
1254000,False,False,2303218
1254000,False,False,2310050
1254000,False,False,2302486
1254000,False,False,2320786
1254000,False,False,2301998
1254000,False,False,2295654
1254000,False,False,2304682
1254000,False,False,2289554
1254000,False,False,2293458
1254000,False,False,2300290
1254000,False,False,2289310
1254000,False,False,2323958
1254000,False,False,2309074
1254000,False,False,2307854
1254000,False,False,2302242
1254000,False,False,2295654
1254000,False,False,2310782
1254000,False,False,2289310
1254000,False,False,2302242
1254000,False,False,2301754
1254000,False,False,2306146
1254000,False,False,2297606
1254000,False,False,2299314
1254000,False,False,2300534
1254000,False,False,2299314
1254000,False,False,2287358
1254000,False,False,2299802
1304000,True,True,1672832
1304000,True,True,1679664
1304000,True,True,1671856
1304000,True,True,1682348
1304000,True,True,1669904
1304000,True,True,1686252
1304000,True,True,1683568
1304000,True,True,1672100
1304000,True,True,1690156
1304000,True,True,1681616
1304000,True,True,1686496
1304000,True,True,1680396
1304000,True,True,1688204
1304000,True,True,1666976
1304000,True,True,1689668
1304000,True,True,1676980
1304000,True,True,1662096
1304000,True,True,1662584
