,height,c,L,size
14788,904000,0.8,240,2819638
14787,904000,0.8,240,2824030
14786,904000,0.8,240,2814758
14785,904000,0.8,240,2824030
14784,904000,0.8,240,2833546
14783,904000,0.8,240,2826714
14782,904000,0.8,240,2812318
14781,904000,0.8,240,2808902
14780,904000,0.8,240,2818906
14779,904000,0.8,240,2825738
14778,904000,0.8,240,2817198
14777,904000,0.8,240,2820370
14776,904000,0.8,240,2822078
14775,904000,0.8,240,2818418
14774,904000,0.8,240,2823786
14773,904000,0.8,240,2818662
14772,904000,0.8,240,2815490
14771,904000,0.8,240,2822078
14770,904000,0.8,240,2824518
14769,904000,0.8,240,2825250
14768,904000,0.8,240,2821834
14767,904000,0.8,240,2827690
14766,904000,0.8,240,2821346
14765,904000,0.8,240,2811830
14764,904000,0.8,240,2818174
14763,904000,0.8,240,2819882
14762,904000,0.8,240,2817442
14761,904000,0.8,240,2824274
14760,904000,0.8,240,2816466
14759,954000,0.2,100,756996
14758,954000,0.2,100,753580
14757,954000,0.2,100,744552
14756,954000,0.2,100,758948
14755,954000,0.2,100,750896
14754,954000,0.2,100,748212
14753,954000,0.2,100,766756
14752,954000,0.2,100,759436
14751,954000,0.2,100,752116
14750,954000,0.2,100,764560
14749,954000,0.2,100,755776
14748,954000,0.2,100,762120
14747,954000,0.2,100,752848
14746,954000,0.2,100,763340
14745,954000,0.2,100,760900
14744,954000,0.2,100,766024
14743,954000,0.2,100,762120
14742,954000,0.2,100,759680
14741,954000,0.2,100,755532
14740,954000,0.2,100,757240
14739,954000,0.2,100,756020
14738,954000,0.2,100,754556
14737,954000,0.2,100,760900
14736,954000,0.2,100,759192
14735,954000,0.2,100,742356
14734,954000,0.2,100,751140
14733,954000,0.2,100,761144
14732,954000,0.2,100,767488
14731,954000,0.2,100,758460
14730,954000,0.2,100,747968
14729,954000,0.2,144,824856
14728,954000,0.2,144,828028
14727,954000,0.2,144,829248
14726,954000,0.2,144,824124
14725,954000,0.2,144,824124
14724,954000,0.2,144,816316
14723,954000,0.2,144,840472
14722,954000,0.2,144,820708
14721,954000,0.2,144,827052
14720,954000,0.2,144,838276
14719,954000,0.2,144,821928
14718,954000,0.2,144,827052
14717,954000,0.2,144,825100
14716,954000,0.2,144,822172
14715,954000,0.2,144,837300
14714,954000,0.2,144,829248
14713,954000,0.2,144,832420
14712,954000,0.2,144,828760
14711,954000,0.2,144,826564
14710,954000,0.2,144,821196
14709,954000,0.2,144,838764
14708,954000,0.2,144,821440
14707,954000,0.2,144,827052
14706,954000,0.2,144,827052
14705,954000,0.2,144,817780
14704,954000,0.2,144,833152
14703,954000,0.2,144,826320
14702,954000,0.2,144,824124
14701,954000,0.2,144,837056
14700,954000,0.2,144,823636
14699,954000,0.2,192,915738
14698,954000,0.2,192,913054
14697,954000,0.2,192,918422
14696,954000,0.2,192,917202
14695,954000,0.2,192,915006
14694,954000,0.2,192,913786
14693,954000,0.2,192,910858
14692,954000,0.2,192,923546
14691,954000,0.2,192,910858
14690,954000,0.2,192,922570
14689,954000,0.2,192,910370
14688,954000,0.2,192,908174
14687,954000,0.2,192,913786
14686,954000,0.2,192,917934
14685,954000,0.2,192,910370
14684,954000,0.2,192,906466
14683,954000,0.2,192,914518
14682,954000,0.2,192,923546
14681,954000,0.2,192,909150
14680,954000,0.2,192,916958
14679,954000,0.2,192,920374
14678,954000,0.2,192,916470
14677,954000,0.2,192,919886
14676,954000,0.2,192,910126
14675,954000,0.2,192,908662
14674,954000,0.2,192,913542
14673,954000,0.2,192,917690
14672,954000,0.2,192,921594
14671,954000,0.2,192,916714
14670,954000,0.2,192,908662
14669,954000,0.2,240,993011
14668,954000,0.2,240,1002283
14667,954000,0.2,240,992279
14666,954000,0.2,240,990571
14665,954000,0.2,240,1000819
14664,954000,0.2,240,1000819
14663,954000,0.2,240,1002283
14662,954000,0.2,240,1010335
14661,954000,0.2,240,1002283
14660,954000,0.2,240,995695
14659,954000,0.2,240,994719
14658,954000,0.2,240,1004479
14657,954000,0.2,240,991547
14656,954000,0.2,240,999111
14655,954000,0.2,240,1008139
14654,954000,0.2,240,1006431
14653,954000,0.2,240,1007651
14652,954000,0.2,240,996915
14651,954000,0.2,240,1012775
14650,954000,0.2,240,1003259
14649,954000,0.2,240,1001551
14648,954000,0.2,240,1000087
14647,954000,0.2,240,998623
14646,954000,0.2,240,999843
14645,954000,0.2,240,1003259
14644,954000,0.2,240,1005699
14643,954000,0.2,240,999355
14642,954000,0.2,240,1000575
14641,954000,0.2,240,997403
14640,954000,0.2,240,1004235
14639,954000,0.5,100,1478707
14638,954000,0.5,100,1473095
14637,954000,0.5,100,1479439
14636,954000,0.5,100,1481391
14635,954000,0.5,100,1482367
14634,954000,0.5,100,1480171
14633,954000,0.5,100,1465043
14632,954000,0.5,100,1483099
14631,954000,0.5,100,1471875
14630,954000,0.5,100,1479439
14629,954000,0.5,100,1481879
14628,954000,0.5,100,1476755
